ID,User_Name,created,tweet
1324470781011787776,Marilyn Okoro OLY,2020-11-05 21:56:56,"RT @KimRowellTV: Some of the INCREDIBLE people I have in my virtual tent at #Kindfest2020 on World Kindness Day, 13th November.
Huge thanks…"
1324470758635196416,Kevin DeFreitas,2020-11-05 21:56:50,"RT @YouthSpeakCAN: 𝘞𝘦𝘭𝘭𝘯𝘦𝘴𝘴 𝘞𝘦𝘥𝘯𝘦𝘴𝘥𝘢𝘺

Simple Wellness Habits To Practice Daily #ForYouthByYouth
#wellnesswednesday #Wellness #mentalhealth…"
1324470757779525633,Tracy,2020-11-05 21:56:50,RT @911well: Your words can lift people up or tear them down. Use your words for good. #Mindfulness #Wellness #MentalHealth https://t.co/b4…
1324470699977703424,J C Cooley,2020-11-05 21:56:37,"Tune in on Saturday Nov 7th as @RayLeonardJr and I discuss Mental Wellness with out guests Dr Joy Wright, Lizette L… https://t.co/WSEaf69Vkx"
1324470698509799431,Neil 2.7k Stop The Steal,2020-11-05 21:56:36,"To everyone with a mental illness who is currently in lockdown, sitting with their thoughts everyday. Be kind to yo… https://t.co/ov7FfhRhFi"
1324470692373536769,Bethan Edwards 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺 🏳️‍🌈,2020-11-05 21:56:35,"RT @pixiegirle: Over the years twitter has come to replicate the power imbalances inherent in #mentalhealth services, but online.  The more…"
1324470680411377664,Trystan Williams,2020-11-05 21:56:32,"RT @DrTinarae: May be helpful for us today.....
#mentalhealth #wellbeing #positivepsychology #selfcare #Lockdown2 https://t.co/eLNYl8kF3b"
1324470666616283137,inspire n motivate,2020-11-05 21:56:29,"https://t.co/vtbabe473R
Short Music for Meditation &amp; Relaxation drenches you in sea of music to feel the force. Sna… https://t.co/e9Woldar5V"
1324470588727963648,Sharon McDonough,2020-11-05 21:56:10,"RT @ithinkwellHugh: #MentalHealth tip: 
I didn’t think I was a bully until I heard how I spoke to myself.
I think I owe myself an apology.…"
1324470534344708097,Jenn Hankin,2020-11-05 21:55:57,A helpful read for this week! How to take care of your #mentalhealth on stressful days from @startuphealth company… https://t.co/RKRjacXsnP
1324470526169985026,Julie Munckton,2020-11-05 21:55:55,No 11 in my #WorryArt series #arttherapy #mentalhealth https://t.co/aqhp93ZEyc
1324470504166739970,Rob,2020-11-05 21:55:50,"RT @lgbtfriend: Pls RT. We still have spots left for our #Lockdown #Remedy #Support #Group starting Thursday, 12th Nov 2020, 2-4pm (for fou…"
1324470495635529729,Parental Alienation is Child Psychological Abuse,2020-11-05 21:55:48,"@ATeagueDADS You are saying your friend Anthony Hartley is linked to Parental Alienation UK is that correct?

You s… https://t.co/KM7clKHsci"
1324470449997307906,Dr Rashid Zaman FRCPsych,2020-11-05 21:55:37,"RT @NawazFaisal_ai: ""Fighting Against Stress"" is my next talk happening tomorrow on Facebook Live.

📢 Question for twitter:

What advice do…"
1324470443068194819,Ginny Jordan,2020-11-05 21:55:35,"RT @911well: Struggles make you, don't let them break you. #Mindfulness #Wellness #MentalHealth https://t.co/7L0qGxDO2n"
1324470434948128772,Sean Cappadocia,2020-11-05 21:55:33,"RT @SCDSB_Schools: We are #SCDSBproud to see our schools supporting the #mentalhealth and #wellbeing of their students. In this episode, we…"
1324470406619844609,Laura Tamblyn Watts,2020-11-05 21:55:27,"Not good: the #onbudget2020 had $0 for #elderabuse, no  costing for 4 hours of #care for #longtermcare residents, a… https://t.co/buLdGO3l0D"
1324470368535564289,Morag,2020-11-05 21:55:17,"Goodnight, take care, sweatdreams 🤍💚💙
#prisonservice #999family #mentalhealth #ptsd https://t.co/LPHTR9zOSX"
1324470347245256707,SEED - Eating Disorder Support Services,2020-11-05 21:55:12,RT @amy_trust: So pleased to have started the @SEEDhull programme today at @TMCHull. So impressed with Y7 boys engagement and also how acce…
1324470328807084032,Pathways @ YCDSB,2020-11-05 21:55:08,"RT @YouthSpeakCAN: 𝘞𝘦𝘭𝘭𝘯𝘦𝘴𝘴 𝘞𝘦𝘥𝘯𝘦𝘴𝘥𝘢𝘺

Simple Wellness Habits To Practice Daily #ForYouthByYouth
#wellnesswednesday #Wellness #mentalhealth…"
1324470310192689152,Designdivil,2020-11-05 21:55:04,"#Yoga #Meditation #Inspirational Words. ""Sky Above, Earth Below, Peace Within"" Quality Vinyl Matte #WallSticker Dec… https://t.co/wULaj27WUn"
1324470306338209799,Oliver  T. Mhuriro,2020-11-05 21:55:03,@NationAfrica Oregon State already has #mentalhealth crisis with the highest rates of mental health in US🇺🇸. https://t.co/tTyq43gQwK
1324470295617523713,Suzanne McKenna,2020-11-05 21:55:00,"RT @iThriveEdin: Edspace has transformed into iThrive Edinburgh!

iThrive Edinburgh is your new online space for #mentalhealth and #wellbei…"
1324470245327839232,leo 🐞,2020-11-05 21:54:48,"RT @lgbtfriend: Pls RT. We still have spots left for our #Lockdown #Remedy #Support #Group starting Thursday, 12th Nov 2020, 2-4pm (for fou…"
1324470235001425929,Parental Alienation is Child Psychological Abuse,2020-11-05 21:54:46,"@ATeagueDADS
 You are saying your friend Anthony Hartley is linked to Parental Alienation UK is that correct?

You… https://t.co/WMwpdRNplP"
1324470180362260480,"Cohen Clinic at Endeavors, El Paso",2020-11-05 21:54:33,"RT @CohenVeterans: ""We are expected to have endless amounts of energy now more than ever, yet at times we have less to give... We must take…"
1324470159029972993,Josh Darr,2020-11-05 21:54:28,Excited to take part in the #MMCChat next week on a number of thought provoking questions on the environment and tr… https://t.co/6kdQuODodC
1324470131146268672,Silver Wave FilmFest,2020-11-05 21:54:21,RT @worldbrightfilm: Honoured to have Atlantic premiere at @silverwavefilm! Online screening of our documentary starts from Sunday November…
1324470125265899526,Streetlymindfulness & Well-being,2020-11-05 21:54:19,"2 part Tweet 🐥 
So.... I’d like your thoughts &amp; potential advantages, logistics &amp; hazards! With this second lockdow… https://t.co/ShfsXdjOiW"
1324470105284235266,Adi Ni Dhálaigh Gourdialsing,2020-11-05 21:54:15,"@alisonphipps As a parent with first year student at University I feel for everyone of them.
This cohort have been… https://t.co/Bv2hvaMREm"
1324470102373376005,"Bianca Watson, MD",2020-11-05 21:54:14,"RT @drdanareid: As we are experiencing so many emotions, feelings and worries ,let’s make sure we stop to Breathe ! 

.Get out in nature an…"
1324470087378677761,***Steff*🐉🕷,2020-11-05 21:54:10,"RT @ForcesCommunity: Bonfire night comes once a year and people will celebrate with fireworks. 

If you can speak to your neighbours before…"
1324470038477287424,libby,2020-11-05 21:53:59,"Imagine waking up in your uni accommodation (that you’ve only been in 2 months) to see that you’ve been caged in, a… https://t.co/o90IbdyLXv"
1324469991727616001,Goodfellow P.S.,2020-11-05 21:53:48,"RT @SCDSB_Schools: We are #SCDSBproud to see our schools supporting the #mentalhealth and #wellbeing of their students. In this episode, we…"
1324469977190203394,AJ HILL / CLAUDE,2020-11-05 21:53:44,"Love how Dave from down the street all of a sudden voices concern for the mentally ill, the Neurodiverse &amp; those su… https://t.co/syQKZZ4XxT"
1324469976678440962,The Arlington EAP,2020-11-05 21:53:44,"RT @NAMINOVA: What are you doing to take care of yourself this week? 

#selfcare #mentalhealth #MentalHealthMatters https://t.co/kSZAEDOmbN"
1324469901998891009,ᕼᗩᖇᖇY ᕼIᑭᑭO ♿️ 👊😘👍,2020-11-05 21:53:26,"RT @DannyGautama: Just be a GIVER and everything will organically come back to you in great abundance,when you do things without expectatio…"
