ID,User_Name,created,tweet
1324396416140222464,Holly Blanc Moses,2020-11-05 17:01:26,RT @HollyBMoses: Do you feel like you are always last? Listen here - https://t.co/pNZO7CjtpR #therapist #parenting #autismparenting #autism…
1324396306887004160,Katherine Cole,2020-11-05 17:01:00,"Oh, hey, here's the @The4Top Ep. 79 panelist @nikitarbk telling us all to hydrate in the morning. Which is really g… https://t.co/nUAaIqkAqr"
1324396301379776513,Media_Psych,2020-11-05 17:00:58,"RT @Med_Psych1: People With Social Anxiety and Depression May Benefit From Dating Apps
https://t.co/HKlsJoOewN
#dating #datingaround #anxie…"
1324396058550697986,Kanabiz,2020-11-05 17:00:01,"#Lockdown is in place! 😬😟These difficult times are back and we wish everyone to be mentally strong and stay calm.
I… https://t.co/17D3Xcio7Y"
1324396054700318721,PRC Recovery,2020-11-05 17:00:00,My addiction nearly destroyed me.... But I found recovery and then my whole life changed in the most amazing ways..… https://t.co/8amE137pi9
1324395941047214080,Gabrielle Ferrara LSW,2020-11-05 16:59:33,Hi everyone! My name is Gabrielle and I’m a Licensed Social Worker in New Jersey. I am passionate about all things… https://t.co/3twQ6EsPyd
1324395920205598720,Joy,2020-11-05 16:59:28,RT @UrbnHealthNP: Since we're talking a lot about anxiety these days... I saw this on my LinkedIn feed and find it fascinating. Keep in min…
1324395802568007680,Michael W. Kolton,2020-11-05 16:59:00,"When shit hit the fan I try to breathe slow and deep. Sometimes that's all I can do
#bipolar #mentalhealth… https://t.co/7aNhWZp8h3"
1324395739657736195,Amanda Torres,2020-11-05 16:58:45,"RT @mentalhealthMD: In response to the COVID-19 #pandemic, @NIH is conducting an online study to better understand the impact of this stres…"
1324395618480082946,TheHealthBookStore,2020-11-05 16:58:16,"How to cope with #Anxiety during the second lockdown, according to #MentalHealth experts.
https://t.co/oM6Tl1p9tY"
1324395406118293510,Britney_lost_In_The_Woods,2020-11-05 16:57:25,RT @topropesquishy: So that ppl understand... This ⬇️ is what depression and anxiety looks like... you can never tell what pain ppl are hid…
1324395226320969729,💮,2020-11-05 16:56:42,"RT @WheresMyBubble: 😔

Books - https://t.co/OeNAnhakVM

#introvert #overthinking #anxiety https://t.co/qlZL0Ixvby"
1324394993692323842,Theophany Staffing,2020-11-05 16:55:47,"RT @EEHealth_CEO: Elections can be stressful. As the day draws to a close and we await the results of this election, try these tips to lowe…"
1324394914315182081,Ashley Lauren,2020-11-05 16:55:28,https://t.co/Ou5X3o9PG0 New video! About #depersonalisation #derealisation #depersonalization #derealization #anxiety #mentalhealth
1324394791908630529,Jean Paul,2020-11-05 16:54:59,RT @AnxietyPath: #anxiety #depression #agoraphobia #PTSD #OCD #anxietydisorders #anxietyrecovery #recovery #support #anxietyisreal #depress…
1324394687222943744,💚Victoria Aranguiz💚 🦊🍷🖤,2020-11-05 16:54:34,"RT @CA_Survivor: New post: (So, How Are You Doing?) - https://t.co/PiXjAF5ynI - #Anxiety #Health #Hope #MentalHealth #Support #Touch https:…"
1324394643937726466,Gerrard ❤️ ❤️ ❤️💯 💯 💯,2020-11-05 16:54:23,RT @topropesquishy: So that ppl understand... This ⬇️ is what depression and anxiety looks like... you can never tell what pain ppl are hid…
1324394593916387328,Swillman,2020-11-05 16:54:11,"@BrunTheBear Anxiety crash. So nauseous and exhausted that I can’t move. Also, jaw aches from tensing.
Other than t… https://t.co/ASkR9tXQ0U"
1324394576598175746,legomyeggoMan,2020-11-05 16:54:07,We’re all stressed right now . #anxiety #depression https://t.co/7ZqEjDlpqr
1324394567949553665,Melanie Shmois,2020-11-05 16:54:05,"Sometimes as our minds are spinning out of control, and our brain begins to create feelings like #fear, #doubt, and… https://t.co/E7fPcGxZiS"
1324394566917656577,Melanie Shmois,2020-11-05 16:54:05,"After last week's blog about the #panicattack that sent me to the ER, I received emails and messages from many of y… https://t.co/XinUdt4VKd"
1324394496029872128,Terrydactal,2020-11-05 16:53:48,RT @topropesquishy: So that ppl understand... This ⬇️ is what depression and anxiety looks like... you can never tell what pain ppl are hid…
1324394444716675072,"Rebecca Martin, RMT",2020-11-05 16:53:36,Nothing can describe how it feels to have anxiety better than this infographic.#Anxiety #AnxietySigns  - Deal With… https://t.co/DkTp9XDesa
1324394374193700866,Carolina,2020-11-05 16:53:19,RT @topropesquishy: So that ppl understand... This ⬇️ is what depression and anxiety looks like... you can never tell what pain ppl are hid…
1324394160753942528,Faith Martin,2020-11-05 16:52:28,RT @clsebastian: Join this free webinar on our #activeingredientsMH approach to youth #anxiety and #depression @wellcometrust @Mental_Elf.…
1324394148758249480,Book Club Pro,2020-11-05 16:52:25,"Are you afraid that you’ll die with your dream unrealized?
Afraid of failure?
#fear #anxiety #selfhelp… https://t.co/jM0LAXKewH"
1324394017434394624,HighBar Enterprises,2020-11-05 16:51:54,RT @mmjmikeelkin: Start November with an amazing #Discussion with ⁦@drrichalove⁩ ⁦@jenn_larry⁩ ⁦@BloomByDrLove⁩. Hear some of the benefits…
1324393985557843970,Bex S,2020-11-05 16:51:46,Been a rough day today with #anxiety . Am I enough? I know I'm capable of so much more but what jobs are available… https://t.co/HvMm6Mp1Qu
1324393975667691522,BNI Focus,2020-11-05 16:51:44,RT @LymmOsteopaths: It's hardly surprising that we are finding ourselves so anxious at the moment - this can impact on our health in differ…
1324393855085502464,Dr. Richa Love,2020-11-05 16:51:15,RT @mmjmikeelkin: Start November with an amazing #Discussion with ⁦@drrichalove⁩ ⁦@jenn_larry⁩ ⁦@BloomByDrLove⁩. Hear some of the benefits…
1324393753717567490,Bloom by Dr. Love,2020-11-05 16:50:51,RT @mmjmikeelkin: Start November with an amazing #Discussion with ⁦@drrichalove⁩ ⁦@jenn_larry⁩ ⁦@BloomByDrLove⁩. Hear some of the benefits…
1324393640832212995,Jérémy Michel,2020-11-05 16:50:24,RT @topropesquishy: So that ppl understand... This ⬇️ is what depression and anxiety looks like... you can never tell what pain ppl are hid…
1324393609026699264,Garf,2020-11-05 16:50:17,RT @DiscoverSelf: HOW-TO Combat #Stress &amp; #Anxiety With Alternative Techniques #HeartThis #HowTo #Health #Tips #WomensHealth #HOWTO https:/…
1324393537920618497,Jeevan Biswas,2020-11-05 16:50:00,"Trying to calm our nerves, are we? 🤣
#USElections #USElectionResults #ElectionResults2020 #Anxiety
https://t.co/dEt9ek9uG2"
1324393506484473859,graham music,2020-11-05 16:49:52,so many worrying effects #depression #loneliness #anxiety https://t.co/iidQ4hEg1S
1324393413035393026,Michael Elkin🇨🇦,2020-11-05 16:49:30,Start November with an amazing #Discussion with ⁦@drrichalove⁩ ⁦@jenn_larry⁩ ⁦@BloomByDrLove⁩. Hear some of the ben… https://t.co/Uu5WWx9z7m
1324393409017204737,Windprinzessin,2020-11-05 16:49:29,"RT @AdhdBri: If I try to ignore it, it will go away right? 👀💧 #anxiety and #adhd make for a hell of a combo. https://t.co/u0ibmcmqFl"
1324393138249760768,Blerd Central,2020-11-05 16:48:24,RT @topropesquishy: So that ppl understand... This ⬇️ is what depression and anxiety looks like... you can never tell what pain ppl are hid…
1324392855859875841,Maddy Anderson,2020-11-05 16:47:17,So that ppl understand... This ⬇️ is what depression and anxiety looks like... you can never tell what pain ppl are… https://t.co/HdeI9C7vnL
1324392620525867008,♡Cheddar~Egg♡,2020-11-05 16:46:21,"Am I ok sometimes I'm not really sure. 
Like its ok everything Hurts
God I feel too much 
#anxiety"
1324392576032612353,SmileyAnswers™,2020-11-05 16:46:10,"Is your organization measuring #stress and #anxiety?
Listen and Learn to Improve Human Experiences.
#Economy… https://t.co/qiOflgOBOU"
1324392447917592577,Claire Humphries Holistic Coach & Therapist,2020-11-05 16:45:40,4pm today #lockdown daily support #mentalhealth #anxiety #live at my coaching and therapy page.… https://t.co/C4nbqhEBmI
